datetime,flow,temperature
2017-01-01 00:00:00,4.75,96.00
2017-01-01 01:00:00,4.95,95.47
2017-01-01 02:00:00,5.05,95.63
2017-01-01 03:00:00,4.85,94.97
2017-01-01 04:00:00,5.14,94.76
2017-01-01 05:00:00,4.85,96.83
2017-01-01 06:00:00,4.85,99.87
2017-01-01 07:00:00,4.85,101.39
2017-01-01 08:00:00,5.34,102.71
2017-01-01 09:00:00,5.05,102.14
2017-01-01 10:00:00,4.37,103.50
2017-01-01 11:00:00,3.30,100.62
2017-01-01 12:00:00,4.37,97.90
2017-01-01 13:00:00,3.40,98.29
2017-01-01 14:00:00,3.69,97.76
2017-01-01 15:00:00,4.08,96.70
2017-01-01 16:00:00,4.27,96.73
2017-01-01 17:00:00,4.37,97.68
2017-01-01 18:00:00,4.46,97.35
2017-01-01 19:00:00,4.75,98.25
2017-01-01 20:00:00,4.66,99.48
2017-01-01 21:00:00,4.75,99.61
2017-01-01 22:00:00,4.56,100.41
2017-01-01 23:00:00,5.34,100.91
