datetime,flow,temperature
2017-01-01 00:00:00,0.75,92.10
2017-01-01 01:00:00,0.75,92.73
2017-01-01 02:00:00,0.75,91.94
2017-01-01 03:00:00,0.75,91.96
2017-01-01 04:00:00,0.75,91.58
2017-01-01 05:00:00,0.86,92.69
2017-01-01 06:00:00,0.75,94.94
2017-01-01 07:00:00,0.86,95.47
2017-01-01 08:00:00,0.96,95.94
2017-01-01 09:00:00,1.07,96.36
2017-01-01 10:00:00,0.96,95.89
2017-01-01 11:00:00,0.96,95.86
2017-01-01 12:00:00,0.64,95.69
2017-01-01 13:00:00,0.75,96.86
2017-01-01 14:00:00,0.86,96.80
2017-01-01 15:00:00,0.86,94.89
2017-01-01 16:00:00,0.86,93.70
2017-01-01 17:00:00,0.96,96.74
2017-01-01 18:00:00,0.86,95.45
2017-01-01 19:00:00,0.86,94.54
2017-01-01 20:00:00,0.86,94.69
2017-01-01 21:00:00,0.86,93.90
2017-01-01 22:00:00,0.86,94.05
2017-01-01 23:00:00,0.86,94.53
